Timestamp,Username,VideoID,Comment,Date
2025-04-22T08:02:16Z,@mifjane,SzXMacu80o8,"Kamu aja kerjaan di cariin ortu, sekolah ngga pinter, dan KKN  semua pencapaian anak bangsa ini BUKAN karna peran kamu, bapak kamu dan antek”mu Loooser 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻",2025-04-22T08:02:16Z
2025-04-22T08:02:02Z,@Dzedt30,SzXMacu80o8,like👍 or DISLIKE👎👎👎 🔥,2025-04-22T08:02:41Z
2025-04-22T08:02:00Z,@nuhaardyka8669,SzXMacu80o8,"Makanya dukung creator dalam negri dengan kasih lapangan kerja, bukan gembar gembor pake AI",2025-04-22T08:02:00Z
2025-04-22T08:02:35Z,@nuhaardyka8669,SzXMacu80o8,"Bikin video AI, bikin gambar AI, giliran ada yang sukses ""bagusss""",2025-04-22T08:02:35Z
2025-04-22T08:01:50Z,@yzadrena,SzXMacu80o8,Udah yappingnyaaa?,2025-04-22T08:01:50Z
2025-04-22T08:01:43Z,@SelaMaria-q6h,SzXMacu80o8,Generasi muda Indonesia percaya pada Pak Gibran! Teruslah maju dan jangan pernah menyerah dalam mewujudkan Indonesia yang lebih baik.,2025-04-22T08:01:43Z
2025-04-22T08:01:41Z,@HermanPutra-d3e,SzXMacu80o8,"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
Pelawak omon omon",2025-04-22T08:01:41Z
2025-04-22T08:01:40Z,@jaydenaxelion,SzXMacu80o8,"Kamu bukan hanya pemimpin, tapi juga inspirasi bagi banyak orang, Mas Gibran! Tetap kuat dan percaya diri.",2025-04-22T08:01:40Z
2025-04-22T08:01:40Z,@zuliantozulianto5372,SzXMacu80o8,"WaPres kok Youtobe pan..Hasil Kerja Nyata yg Di Lihatkan. Bukan Koar2 doang.. Mana 10,000. Lapangan Kerjanya .",2025-04-22T08:01:40Z
2025-04-22T08:01:34Z,@QueenaAndita,SzXMacu80o8,"Banyak banget hate komennya, ttap semangat pak wapres kesayangan",2025-04-22T08:01:34Z
2025-04-22T08:01:24Z,@HermaheraRara,SzXMacu80o8,Mantappp . Maju teruss mas gibran ❤,2025-04-22T08:01:24Z
2025-04-22T08:01:21Z,@triyunanto7133,SzXMacu80o8,Kalau monolog...anak sd juga bisa..preettt..mana kecerdasanmu?,2025-04-22T08:01:21Z
2025-04-22T08:01:19Z,@adekoesmara3463,SzXMacu80o8,Wis turu wae Le....maluuu...,2025-04-22T08:01:19Z
2025-04-22T08:01:12Z,@naufalwicaksono6707,SzXMacu80o8,Kok ngerasa kayak lagi dengerin presentasinya anak SMA ya 😅,2025-04-22T08:01:12Z
2025-04-22T08:01:11Z,@Samba-m9g,SzXMacu80o8,Anak muda ko seperti ni😂,2025-04-22T08:01:11Z
2025-04-22T08:01:09Z,@AmrZayn-vf5yk,SzXMacu80o8,Mulyono,2025-04-22T08:01:09Z
2025-04-22T08:01:08Z,@mnhinfinity6042,SzXMacu80o8,"Niru si raymond jir tema konten nya 🤣 ni orang ga ada kreatif"" nya jiplak mulu, Fomo pula😂🤡",2025-04-22T08:01:08Z
2025-04-22T08:00:55Z,@redoakbarsetiawan8599,SzXMacu80o8,zero,2025-04-22T08:00:55Z
2025-04-22T08:00:54Z,@Ulul-ro2df,SzXMacu80o8,Fufu Fafa,2025-04-22T08:00:54Z
2025-04-22T08:00:54Z,@EbitAnwar,SzXMacu80o8,Dislikenya beneran ditutup jumlahnya 😅,2025-04-22T08:00:54Z
2025-04-22T08:00:52Z,@MochtarAzazil-cy3ku,SzXMacu80o8,"Kosong sampai sel,gen dan kromosom2nya",2025-04-22T08:00:52Z
2025-04-22T08:00:51Z,@hasrillubis1036,SzXMacu80o8,"Isi otak kosong, sok ceramahin kita2..sadar lu tong",2025-04-22T08:00:51Z
2025-04-22T08:00:51Z,@Salmaselmi-g4d,SzXMacu80o8,"Pak Gibran, Anda telah menunjukkan bahwa kepemimpinan yang baik dapat membawa Indonesia menjadi lebih maju! Teruslah berjuang.",2025-04-22T08:00:51Z
2025-04-22T08:00:51Z,@srimismiati8684,SzXMacu80o8,Omong opo to le?😂,2025-04-22T08:00:51Z
2025-04-22T08:00:47Z,@mimikcucu3935,SzXMacu80o8,"Nyimeng dulu lay  💤
Wik wok wik wok 🤣",2025-04-22T08:00:47Z
2025-04-22T08:00:38Z,@yukierawr,SzXMacu80o8,"Pak Gibran, Anda adalah harapan bagi anak muda Indonesia! Teruslah berjuang dan memberikan contoh kepemimpinan yang baik.",2025-04-22T08:00:38Z
2025-04-22T08:00:27Z,@PutraPermana_1,SzXMacu80o8,"Semangat terus mas wapres, pas bisa melewati badai yg kuat ini",2025-04-22T08:00:27Z
